ANNEE,MOIS,NUM COMMANDE,CANAL,CENTRAL,ENSEIGNE,REFERENCE,DESIGNATION,SECTEUR,MARQUE,FAMILLE,SOUS-FAMILLE,PRODUIT,QUANTITE,PRIX,CA VENTE,PRIX ACHAT,CA ACHAT,MARGE
2023,1,S012300027,GMS,GALEC,GALEC PFE,49918,PECHE ANANAS KIWI SSA 12x4/4 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,72,"21,7868","1568,6496","2,097","150,984","1417,6656"
2023,1,S012300049,GMS,GALEC,GALEC PFE,51029,CERISE B14-17 SAC ARO 12X1/2 STMAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,ROUGES,CERISE,36,"20,0124","720,4464","0,924","33,264","687,1824"
2023,1,S012300066,RHF,INDEPENDANTS,DIVERS,37375,CONF.ASSORT  150XQ25G  ST MAMET,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ASSORTI,150,"12,4869","1873,035","7,638","1145,7","727,335"
2023,1,S012300066,RHF,INDEPENDANTS,DIVERS,38821,PUREE POM-PRUNEAU SSA 120XFS ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,COMPOTES,POTS PLASTIQUE,POMME PRUNEAU,9,"42,6325","383,6925","17,766","159,894","223,7985"
2023,1,S012300066,RHF,INDEPENDANTS,DIVERS,36904,CPTE POM-BAN ALL 120XFS ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,COMPOTES,POTS PLASTIQUE,POMME BANANE,18,"42,3407","762,1326","20,31","365,58","396,5526"
2023,1,S012300069,RHF,INDEPENDANTS,#N/A,47703,EDF VERGER SL SACCH 120XFS SM,Marque St Mamet Gros Condition,ST MAMET,FEM PRÊTS A CONSOMMER,ENVIE DE FRUITS,MELANGE DE FRUITS,20,"68,17","1363,4","31,539","630,78","732,62"
2023,1,S012300069,RHF,INDEPENDANTS,#N/A,45351,EDF PEC-POIR NAT.120XFS ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,FEM PRÊTS A CONSOMMER,ENVIE DE FRUITS,MELANGE DE FRUITS,20,"63,663","1273,26","29,752","595,04","678,22"
2023,1,S012300070,GMS,GALEC,GALEC PFE,49916,PECHE POIRE ANANAS SSA 12x1/2 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,36,"14,2296","512,2656","1,002","36,072","476,1936"
2023,1,S012300070,GMS,GALEC,GALEC PFE,46343,PUR POMME FR12XFS*4  C'EST QUI LE PATRON,St Mamet – Produits spécifique,CQLP,COMPOTES,POTS PLASTIQUE,POMME,117,"6,012","703,404","0,477","55,809","647,595"
2023,1,S012300027,GMS,GALEC,GALEC PFE,49915,PECHE POIRE ANANAS SSA 12x4/4 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,72,"21,7891","1568,8152","1,948","140,256","1428,5592"
2023,1,S012300034,GMS,ITM,ITM BASES,49080,ANANAS ORIGIN TR JUS 12X3/4OF ST.MAM G3,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,99,"31,8","3148,2","1,203","119,097","3029,103"
2023,1,S012300034,GMS,ITM,ITM BASES,49078,ANANAS ORIGIN MX JUS 12X3/4OF ST MAM G3,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,90,"31,8",2862,"1,22","109,8","2752,2"
2023,1,S012300034,GMS,ITM,ITM BASES,52158,PECHE SL SAC 12X1/2  STMA DPNG MED,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,288,"21,12","6082,56","0,732","210,816","5871,744"
2023,1,S012300034,GMS,ITM,ITM BASES,47820,COCKT 4F SL SACCH ARO G3 8X3X1/4 OF STM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,126,"27,76","3497,76","1,771","223,146","3274,614"
2023,1,S012300034,GMS,ITM,ITM BASES,47813,COCKT 4F SL SACCH ARO G3 12X4/4 OF STM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,72,"42,84","3084,48","1,794","129,168","2955,312"
2023,1,S012300034,GMS,ITM,ITM BASES,48438,FRAICHEUR ILES SL SACCH ARO 12X 4/4 SM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,72,"38,88","2799,36","1,953","140,616","2658,744"
2023,1,S012300034,GMS,ITM,ITM BASES,30254,MANGUES 12X1/2OF  ST.MAMET,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,MANGUE,144,"20,76","2989,44","1,035","149,04","2840,4"
2023,1,S012300034,GMS,ITM,ITM BASES,46979,LYCHEES B14-17° 12X3/4 OF ST.MAMET,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,LITCHI,99,"38,4","3801,6","1,491","147,609","3653,991"
2023,1,S012300027,GMS,GALEC,GALEC PFE,50554,POIRE SL SACCH  12X1/2 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,144,"13,568","1953,792","0,819","117,936","1835,856"
2023,1,S012300032,GMS,ITM,ITM BASES,42985,ABRICOT SL 12X4/4OF   ST.MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,72,"36,84","2652,48","1,627","117,144","2535,336"
2023,1,S012300032,GMS,ITM,ITM BASES,51598,ABRICOT AFG4D B14-17° 12X1/2OF STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,144,"21,48","3093,12","0,968","139,392","2953,728"
2023,1,S012300032,GMS,ITM,ITM BASES,48436,FRAICHEUR ILES SL SACCH ARO 8X3X1/4 SM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,126,"27,12","3417,12","1,956","246,456","3170,664"
2023,1,S012300032,GMS,ITM,ITM BASES,50554,POIRE SL SACCH  12X1/2 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,144,"24,48","3525,12","0,819","117,936","3407,184"
2023,1,S012300032,GMS,ITM,ITM BASES,51029,CERISE B14-17 SAC ARO 12X1/2 STMAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,ROUGES,CERISE,288,"27,6","7948,8","0,924","266,112","7682,688"
2023,1,S012300032,GMS,ITM,ITM BASES,50560,POIRE SL SACCH  12X4/4 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,72,"41,52","2989,44","1,608","115,776","2873,664"
2023,1,S012300032,GMS,ITM,ITM BASES,50559,PECHE SL SACCH 12X4/4 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,72,"35,52","2557,44","1,662","119,664","2437,776"
2023,1,S012300032,GMS,ITM,ITM BASES,49080,ANANAS ORIGIN TR JUS 12X3/4OF ST.MAM G3,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,198,"31,8","6296,4","1,203","238,194","6058,206"
2023,1,S012300027,GMS,GALEC,GALEC PFE,52158,PECHE SL SAC 12X1/2  STMA DPNG MED,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,144,"11,5487","1663,0128","0,732","105,408","1557,6048"
2023,1,S012300027,GMS,GALEC,GALEC PFE,51598,ABRICOT AFG4D B14-17° 12X1/2OF STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,72,"13,4615","969,228","0,968","69,696","899,532"
2023,1,S012300027,GMS,GALEC,GALEC PFE,49008,POIR BIO 12X4/4 STMA FR-BIO-01 FRANCE EQ,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,72,"33,4152","2405,8944","1,989","143,208","2262,6864"
2023,1,S012300027,GMS,GALEC,GALEC PFE,51029,CERISE B14-17 SAC ARO 12X1/2 STMAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,ROUGES,CERISE,144,"20,0124","2881,7856","0,924","133,056","2748,7296"
